Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,points
160,Dawson Knox,BUF,23,TE,15,11,50,28,56.00%,388,13.9,2,15,49,7.8,1.9,25.9,0,KnoxDa00,78.8
161,LeSean McCoy,KAN,31,RB,13,9,34,28,82.40%,181,6.5,1,6,23,5.3,2.2,13.9,3,McCoLe01,46.1
162,Paul Richardson,WAS,27,WR,10,6,42,28,66.70%,245,8.8,2,13,22,5.8,2.8,24.5,0,RichPa01,64.5
163,John Ross,CIN,24,WR,8,8,56,28,50.00%,506,18.1,3,22,66,9,3.5,63.3,1,RossJo00,94.6
164,Greg Ward,PHI,24,wr,7,3,40,28,70.00%,254,9.1,1,18,38,6.4,4,36.3,0,WardGr02,59.4
165,Jarius Wright,CAR,30,WR,16,9,58,28,48.30%,296,10.6,0,16,33,5.1,1.8,18.5,0,WrigJa02,57.6
166,Rex Burkhead,NWE,29,rb,13,1,38,27,71.10%,279,10.3,0,10,32,7.3,2.1,21.5,1,BurkRe00,52.9
167,Josh Gordon,2TM,28,,11,7,47,27,57.40%,426,15.8,1,16,58,9.1,2.5,38.7,0,GordJo02,75.6
168,Zay Jones,2TM,24,,15,9,45,27,60.00%,216,8,0,10,23,4.8,1.8,14.4,0,JoneZa00,48.6
169,Isaiah McKenzie,BUF,24,WR,15,8,39,27,69.20%,254,9.4,1,12,46,6.5,1.8,16.9,0,McKeIs00,58.4
170,C.J. Uzomah,CIN,26,TE,16,16,40,27,67.50%,242,9,2,12,36,6.1,1.7,15.1,0,UzomC.00,63.2
171,Mecole Hardman*,KAN,21,wr,16,5,41,26,63.40%,538,20.7,6,18,83,13.1,1.6,33.6,2,HardMe00,111.8
172,Mark Ingram*,BAL,30,RB,15,15,29,26,89.70%,247,9.5,5,16,25,8.5,1.7,16.5,2,IngrMa01,76.7
173,Jakobi Meyers,NWE,23,wr,15,1,41,26,63.40%,359,13.8,0,17,35,8.8,1.7,23.9,0,MeyeJa01,61.9
174,Trey Quinn,WAS,24,wr,12,6,47,26,55.30%,198,7.6,1,10,19,4.2,2.2,16.5,1,QuinTr00,49.8
175,Jeremy Sprinkle,WAS,25,TE,16,13,40,26,65.00%,241,9.3,1,13,23,6,1.6,15.1,1,SpriJe00,54.1
176,Marquez Valdes-Scantling,GNB,25,WR,16,10,56,26,46.40%,452,17.4,2,14,74,8.1,1.6,28.3,0,ValdMa00,83.2
177,Pharoh Cooper,2TM,24,,13,1,33,25,75.80%,243,9.7,1,10,28,7.4,1.9,18.7,0,CoopPh00,55.3
178,Josh Hill,NOR,29,TE,16,11,35,25,71.40%,226,9,3,13,29,6.5,1.6,14.1,0,HillJo02,65.6
179,Dion Lewis,TEN,29,rb,16,1,32,25,78.10%,164,6.6,1,7,24,5.1,1.6,10.3,1,LewiDi00,45.4
180,David Montgomery,CHI,22,rb,16,8,35,25,71.40%,185,7.4,1,7,30,5.3,1.6,11.6,2,MontDa01,45.5
181,Tajae Sharpe,TEN,25,WR,15,6,35,25,71.40%,329,13.2,4,20,47,9.4,1.7,21.9,0,SharTa00,81.9
182,Keelan Cole,JAX,26,wr,16,1,35,24,68.60%,361,15,3,19,55,10.3,1.5,22.6,0,ColeKe00,78.1
183,Ty Johnson,DET,22,rb,16,1,31,24,77.40%,109,4.5,0,4,13,3.5,1.5,6.8,1,JohnTy02,32.9
184,Cody Latimer,NYG,27,wr,15,10,42,24,57.10%,300,12.5,2,19,43,7.1,1.6,20,0,LatiCo00,66
185,Boston Scott,PHI,24,rb,11,2,26,24,92.30%,204,8.5,0,10,39,7.8,2.2,18.5,4,ScotBo02,36.4
186,Will Dissly,SEA,23,TE,6,6,27,23,85.20%,262,11.4,4,14,38,9.7,3.8,43.7,1,DissWi00,71.2
187,Isaiah Ford,MIA,23,wr,8,0,35,23,65.70%,244,10.6,0,16,28,7,2.9,30.5,0,FordIs00,47.4
188,Bennie Fowler,NYG,28,wr,8,2,36,23,63.90%,193,8.4,0,12,17,5.4,2.9,24.1,0,FowlBe00,42.3
189,Patrick Laird,MIA,24,rb,15,4,30,23,76.70%,204,8.9,0,13,21,6.8,1.5,13.6,0,LairPa00,43.4
190,Keke Coutee,HOU,22,wr,9,4,36,22,61.10%,254,11.5,0,10,51,7.1,2.4,28.2,1,CoutKe00,45.4
191,Tevin Coleman,SFO,26,RB,14,11,30,21,70.00%,180,8.6,1,9,37,6,1.5,12.9,0,ColeTe01,45
192,KeeSean Johnson,ARI,23,wr,10,4,42,21,50.00%,187,8.9,1,10,31,4.5,2.1,18.7,1,JohnKe07,43.7
193,Foster Moreau,OAK,22,TE,13,7,25,21,84.00%,174,8.3,5,14,23,7,1.6,13.4,0,MoreFo00,68.4
194,Josh Reynolds,LAR,24,wr,16,2,43,21,48.80%,326,15.5,1,15,31,7.6,1.3,20.4,0,ReynJo00,59.6
195,Seth Roberts,BAL,28,wr,16,0,35,21,60.00%,271,12.9,2,18,33,7.7,1.3,16.9,0,RobeSe00,60.1
196,Delanie Walker,TEN,35,te,7,4,31,21,67.70%,215,10.2,2,11,29,6.9,3,30.7,1,WalkHu00,52.5
197,Josh Jacobs,OAK,21,RB,13,13,27,20,74.10%,166,8.3,0,8,28,6.1,1.5,12.8,1,JacoJo01,34.6
198,Kyle Juszczyk*,SFO,28,FB,12,12,24,20,83.30%,239,12,1,11,49,10,1.7,19.9,0,JuszKy00,49.9
199,Matt Breida,SFO,24,rb,13,5,22,19,86.40%,120,6.3,1,6,17,5.5,1.5,9.2,2,BreiMa00,33
200,Jakeem Grant,MIA,27,wr,10,2,33,19,57.60%,164,8.6,0,9,18,5,1.9,16.4,2,GranJa00,31.4
201,Justin Hardy,ATL,28,wr,16,1,26,19,73.10%,195,10.3,0,9,23,7.5,1.2,12.2,0,HardJu00,38.5
202,Taysom Hill,NOR,29,wr,16,5,22,19,86.40%,234,12.3,6,14,45,10.6,1.2,14.6,0,HillTa00,78.4
203,Parris Campbell,IND,22,wr,7,3,24,18,75.00%,127,7.1,1,6,27,5.3,2.6,18.1,3,CampPa00,30.7
204,Charles Clay,ARI,30,TE,15,10,24,18,75.00%,237,13.2,1,12,47,9.9,1.2,15.8,0,ClayCh00,47.7
205,Rhett Ellison,NYG,31,fb,10,7,28,18,64.30%,167,9.3,1,4,31,6,1.8,16.7,0,ElliRh00,40.7
206,Derrick Henry *,TEN,25,RB,15,15,24,18,75.00%,206,11.4,2,4,75,8.6,1.2,13.7,5,HenrDe00,40.6
207,Tre'Quan Smith,NOR,23,WR,11,6,25,18,72.00%,234,13,5,17,32,9.4,1.6,21.3,0,SmitTr03,71.4
208,Javon Wims,CHI,25,wr,16,6,39,18,46.20%,186,10.3,1,9,37,4.8,1.1,11.6,0,WimsJa00,42.6
209,C.J. Ham*,MIN,26,FB,16,7,26,17,65.40%,149,8.8,1,6,36,5.7,1.1,9.3,1,HamxC.00,35.9
210,Marcus Johnson,IND,25,WR,8,6,33,17,51.50%,277,16.3,2,12,50,8.4,2.1,34.6,0,JohnMa07,56.7
211,David Moore,SEA,24,wr,14,1,34,17,50.00%,301,17.7,2,14,60,8.9,1.2,21.5,2,MoorDa03,55.1
212,Adrian Peterson,WAS,34,RB,15,15,23,17,73.90%,142,8.4,0,7,22,6.2,1.1,9.5,3,PeteAd01,25.2
213,Vyncint Smith,NYJ,23,wr,13,4,31,17,54.80%,225,13.2,0,11,37,7.3,1.3,17.3,1,SmitVy00,37.5
214,Nick Vannett,2TM,26,,16,7,22,17,77.30%,166,9.8,0,5,18,7.5,1.1,10.4,0,VannNi00,33.6
215,Ben Watson,NWE,39,te,10,8,24,17,70.80%,173,10.2,0,9,26,7.2,1.7,17.3,0,WatsBe00,34.3
216,Peyton Barber,TAM,25,rb,16,7,24,16,66.70%,115,7.2,1,4,16,4.8,1,7.2,1,BarbPe01,31.5
217,Jaron Brown,SEA,29,WR,14,4,28,16,57.10%,220,13.8,2,10,48,7.9,1.1,15.7,1,BrowJa03,48
218,Jesse James,DET,25,TE,16,11,27,16,59.30%,142,8.9,0,8,23,5.3,1,8.9,0,JameJe00,30.2
219,Tim Patrick,DEN,26,wr,8,2,31,16,51.60%,218,13.6,0,14,38,7,2,27.3,0,PatrTi00,37.8
220,Chester Rogers,IND,25,wr,12,6,28,16,57.10%,179,11.2,2,11,27,6.4,1.3,14.9,2,RogeCh02,41.9
221,Ian Thomas,CAR,23,te,16,3,30,16,53.30%,136,8.5,1,10,19,4.5,1,8.5,0,ThomIa00,35.6
222,Logan Thomas,DET,28,qb,16,3,28,16,57.10%,173,10.8,1,10,17,6.2,1,10.8,0,ThomLo00,39.3
223,Ameer Abdullah,MIN,26,rb,16,0,21,15,71.40%,88,5.9,1,5,16,4.2,0.9,5.5,1,AbduAm00,27.8
224,Ross Dwelley,SFO,24,te,16,6,22,15,68.20%,91,6.1,2,8,25,4.1,0.9,5.7,0,DwelRo00,36.1
225,Demetrius Harris,CLE,28,TE,15,6,27,15,55.60%,149,9.9,3,10,23,5.5,1,9.9,0,HarrDe03,47.9
226,Marcedes Lewis,GNB,35,TE,16,11,19,15,78.90%,156,10.4,1,8,25,8.2,0.9,9.8,0,LewiMa00,36.6
227,Tony Pollard,DAL,22,rb,15,0,20,15,75.00%,107,7.1,1,4,21,5.4,1,7.1,1,PollTo00,29.7
228,Malik Turner,SEA,23,wr,15,3,22,15,68.20%,245,16.3,1,10,33,11.1,1,16.3,0,TurnMa00,45.5
229,Mark Walton,MIA,22,rb,7,4,21,15,71.40%,89,5.9,0,3,18,4.2,2.1,12.7,1,WaltMa00,21.9
230,Justin Watson,TAM,23,wr,16,2,26,15,57.70%,159,10.6,2,10,17,6.1,0.9,9.9,0,WatsJu01,42.9
231,Darrel Williams,KAN,24,rb,12,0,19,15,78.90%,167,11.1,1,7,52,8.8,1.3,13.9,1,WillDa10,35.7
232,Maxx Williams,ARI,25,TE,16,10,19,15,78.90%,202,13.5,1,11,28,10.6,0.9,12.6,0,WillMa04,41.2
233,Ryquell Armstead,JAX,23,rb,16,1,24,14,58.30%,144,10.3,2,9,31,6,0.9,9,0,ArmsRy00,40.4
234,Kalen Ballage,MIA,24,RB,12,6,24,14,58.30%,63,4.5,0,4,13,2.6,1.2,5.3,0,BallKa00,20.3
235,Trey Burton,CHI,28,te,8,5,24,14,58.30%,84,6,0,5,16,3.5,1.8,10.5,0,BurtTr01,22.4
236,Anthony Firkser,TEN,24,fb,15,1,24,14,58.30%,204,14.6,1,9,39,8.5,0.9,13.6,0,FirkAn00,40.4
237,Jeff Heuerman,DEN,27,TE,14,11,20,14,70.00%,114,8.1,1,9,26,5.7,1,8.1,0,HeueJe00,31.4
238,Marlon Mack,IND,23,RB,14,12,17,14,82.40%,82,5.9,0,2,14,4.8,1,5.9,0,MackMa00,22.2
239,Raheem Mostert,SFO,27,rb,16,0,22,14,63.60%,180,12.9,2,6,39,8.2,0.9,11.3,2,MostRa00,40
240,James O'Shaughnessy,JAX,27,TE,5,5,20,14,70.00%,153,10.9,2,7,35,7.7,2.8,30.6,0,O'ShJa00,41.3
241,Ricky Seals-Jones,CLE,24,wr,14,3,22,14,63.60%,229,16.4,4,10,59,10.4,1,16.4,1,SealRi00,58.9
242,Tavon Austin,DAL,29,wr,14,0,24,13,54.20%,177,13.6,1,8,59,7.4,0.9,12.6,1,AustTa00,34.7
243,Miles Boykin,BAL,23,WR,16,11,22,13,59.10%,198,15.2,3,10,50,9,0.8,12.4,0,BoykMi00,50.8
244,Derek Carrier,OAK,29,te,16,4,19,13,68.40%,108,8.3,1,4,25,5.7,0.8,6.8,0,CarrDe00,29.8
245,Frank Gore,BUF,36,rb,16,8,16,13,81.30%,100,7.7,0,5,18,6.3,0.8,6.3,0,GoreFr00,23
246,Matt LaCosse,NWE,27,TE,11,8,19,13,68.40%,131,10.1,1,6,24,6.9,1.2,11.9,0,LaCoMa00,32.1
247,Scott Miller,TAM,22,wr,10,2,26,13,50.00%,200,15.4,1,5,48,7.7,1.3,20,0,MillSc01,39
248,Ty Montgomery,NYJ,26,wr,16,2,17,13,76.50%,90,6.9,0,3,21,5.3,0.8,5.6,0,MontTy01,22
249,Nick O'Leary,2TM,27,,12,5,18,13,72.20%,109,8.4,1,4,19,6.1,1.1,9.1,1,OLeaNi00,27.9
250,Geoff Swaim,JAX,26,te,6,2,17,13,76.50%,65,5,0,1,9,3.8,2.2,10.8,0,SwaiGe00,19.5
251,T.J. Yeldon,BUF,26,rb,6,0,15,13,86.70%,124,9.5,0,6,23,8.3,2.2,20.7,1,YeldT.00,23.4
252,Seth Devalve,JAX,26,te,12,6,18,12,66.70%,140,11.7,0,7,20,7.8,1,11.7,0,DevaSe00,26
253,Chase Edmonds,ARI,23,rb,13,2,21,12,57.10%,105,8.8,1,5,31,5,0.9,8.1,0,EdmoCh00,28.5
254,Marquise Goodwin,SFO,29,wr,9,6,21,12,57.10%,186,15.5,1,10,38,8.9,1.3,20.7,0,GoodMa00,36.6
255,N'Keal Harry,NWE,22,wr,7,5,24,12,50.00%,105,8.8,2,7,18,4.4,1.7,15,0,HarrNK00,34.5
256,Dontrell Hilliard,CLE,24,rb,14,0,15,12,80.00%,92,7.7,0,4,19,6.1,0.9,6.6,2,HillDo00,17.2
257,Dontrelle Inman,2TM,30,,7,1,21,12,57.10%,181,15.1,0,9,28,8.6,1.7,25.9,0,InmaDo00,30.1
258,Jake Kumerow,GNB,27,wr,14,4,21,12,57.10%,219,18.3,1,8,49,10.4,0.9,15.6,0,KumeJa00,39.9
259,Sony Michel,NWE,24,RB,16,14,20,12,60.00%,94,7.8,0,7,19,4.7,0.8,5.9,2,MichSo00,17.4
260,Byron Pringle,KAN,26,wr,16,0,16,12,75.00%,170,14.2,1,7,28,10.6,0.8,10.6,0,PrinBy00,35
261,Damion Ratley,CLE,24,wr,13,3,24,12,50.00%,200,16.7,1,11,46,8.3,0.9,15.4,0,RatlDa00,38
262,Duke Williams,BUF,27,,4,3,19,12,63.20%,166,13.8,1,8,41,8.7,3,41.5,0,WillDu01,34.6
263,Christian Blake,ATL,23,wr,9,3,24,11,45.80%,91,8.3,0,5,13,3.8,1.2,10.1,0,BlakCh00,20.1
264,DeAndre Carter,HOU,26,wr,16,3,14,11,78.60%,162,14.7,0,6,46,11.6,0.7,10.1,2,CartDe02,23.2
265,Keelan Doss,OAK,23,wr,8,2,14,11,78.60%,133,12.1,0,6,31,9.5,1.4,16.6,0,DossKe00,24.3
266,Wayne Gallman,NYG,25,rb,10,2,15,11,73.30%,102,9.3,1,4,21,6.8,1.1,10.2,0,GallWa00,27.2
267,Travis Homer,SEA,21,rb,16,1,13,11,84.60%,56,5.1,0,3,11,4.3,0.7,3.5,0,HomeTr00,16.6
268,Cordarrelle Patterson*+,CHI,28,wr,16,4,17,11,64.70%,83,7.5,0,3,33,4.9,0.7,5.2,0,PattCo00,19.3
269,Dante Pettis,SFO,24,wr,11,4,24,11,45.80%,109,9.9,2,7,21,4.5,1,9.9,0,PettDa00,33.9
270,Ito Smith,ATL,24,rb,7,0,14,11,78.60%,87,7.9,0,2,11,6.2,1.6,12.4,0,SmitIt00,19.7
271,JJ Arcega-Whiteside,PHI,23,wr,16,5,22,10,45.50%,169,16.9,1,7,30,7.7,0.6,10.6,0,ArceJJ00,32.9
272,Vernon Davis,WAS,35,te,4,1,19,10,52.60%,123,12.3,1,4,48,6.5,2.5,30.8,0,DaviVe00,28.3
273,Brian Hill,ATL,24,rb,12,2,14,10,71.40%,69,6.9,1,4,12,4.9,0.8,5.8,0,HillBr02,22.9
274,Mack Hollins,2TM,26,,16,3,23,10,43.50%,125,12.5,0,7,20,5.4,0.6,7.8,0,HollMa00,22.5
275,Jordan Howard,PHI,25,rb,10,4,14,10,71.40%,69,6.9,1,3,20,4.9,1,6.9,0,HowaJo00,22.9
276,Carlos Hyde,HOU,29,RB,16,14,16,10,62.50%,42,4.2,0,2,14,2.6,0.6,2.6,4,HydeCa00,6.2
277,Kerryon Johnson,DET,22,RB,8,7,15,10,66.70%,127,12.7,1,7,36,8.5,1.3,15.9,1,JohnKe06,26.7
278,Alexander Mattison,MIN,21,rb,13,0,12,10,83.30%,82,8.2,0,3,17,6.8,0.8,6.3,1,MattAl01,16.2
279,C.J. Prosise,SEA,25,rb,9,0,12,10,83.30%,76,7.6,0,3,21,6.3,1.1,8.4,1,ProsC.00,15.6
280,Robert Tonyan,GNB,25,te,11,1,15,10,66.70%,100,10,1,4,28,6.7,0.9,9.1,0,TonyRo00,26
281,Andrew Beck,DEN,23,te,16,6,12,9,75.00%,90,10,1,6,29,7.5,0.6,5.6,0,BeckAn01,24
282,Brandon Bolden,NWE,29,rb,15,2,11,9,81.80%,111,12.3,1,6,29,10.1,0.6,7.4,0,BoldBr00,26.1
283,Deon Cain,2TM,23,,13,6,20,9,45.00%,124,13.8,0,7,35,6.2,0.7,9.5,0,CainDe00,21.4
284,Jaeden Graham,ATL,24,te,16,0,10,9,90.00%,149,16.6,1,7,53,14.9,0.6,9.3,0,GrahJa01,29.9
285,Virgil Green,LAC,31,te,15,4,13,9,69.20%,78,8.7,1,4,15,6,0.6,5.2,0,GreeVi00,22.8
286,Andy Isabella,ARI,23,wr,15,1,13,9,69.20%,189,21,1,4,88,14.5,0.6,12.6,0,IsabAn00,33.9
287,DeSean Jackson,PHI,33,wr,3,3,10,9,90.00%,159,17.7,2,6,53,15.9,3,53,0,JackDe00,36.9
288,Justin Jackson,LAC,23,rb,7,0,11,9,81.80%,22,2.4,0,0,9,2,1.3,3.1,0,JackJu01,11.2
289,Joshua Perkins,PHI,26,te,5,0,13,9,69.20%,87,9.7,1,5,24,6.7,1.8,17.4,0,PerkJo02,23.7
290,Kalif Raymond,TEN,25,wr,8,1,12,9,75.00%,170,18.9,1,6,52,14.2,1.1,21.3,1,RaymKa00,30
291,Adam Shaheen,CHI,25,te,8,2,13,9,69.20%,74,8.2,0,3,18,5.7,1.1,9.3,1,ShahAd00,14.4
292,Wendell Smallwood,WAS,25,rb,15,0,13,9,69.20%,64,7.1,0,4,18,4.9,0.6,4.3,0,SmalWe00,15.4
293,Darwin Thompson,KAN,22,rb,12,0,10,9,90.00%,43,4.8,0,2,19,4.3,0.8,3.6,0,ThomDa06,13.3
294,Laquon Treadwell,MIN,24,wr,13,1,16,9,56.30%,184,20.4,1,8,58,11.5,0.7,14.2,0,TreaLa00,33.4
295,Damion Willis,CIN,22,wr,10,2,16,9,56.30%,82,9.1,0,3,17,5.1,0.9,8.2,0,WillDa11,17.2
296,Mo Alie-Cox,IND,26,te,16,2,11,8,72.70%,93,11.6,0,5,21,8.5,0.5,5.8,0,AlieMo00,17.3
297,Dan Arnold,2TM,24,,5,1,14,8,57.10%,127,15.9,2,6,37,9.1,1.6,25.4,0,ArnoDa00,32.7
298,Blake Bell,KAN,28,TE,15,7,15,8,53.30%,67,8.4,0,3,30,4.5,0.5,4.5,0,BellBl00,14.7
299,Antonio Callaway,CLE,22,wr,4,2,15,8,53.30%,89,11.1,0,3,41,5.9,2,22.3,0,CallAn00,16.9
300,Tyler Conklin,MIN,24,te,15,1,10,8,80.00%,58,7.3,0,2,20,5.8,0.5,3.9,0,ConkTy00,13.8
301,Trevor Davis,3TM,26,,14,4,11,8,72.70%,111,13.9,0,4,28,10.1,0.6,7.9,3,DaviTr03,13.1
302,Hale Hentges,WAS,23,te,11,4,14,8,57.10%,103,12.9,1,6,24,7.4,0.7,9.4,0,HentHa00,24.3
303,Justice Hill,BAL,22,rb,16,0,15,8,53.30%,70,8.8,0,5,14,4.7,0.5,4.4,0,HillJu00,15
304,Chris Hogan,CAR,32,wr,7,1,15,8,53.30%,67,8.4,0,3,13,4.5,1.1,9.6,0,HogaCh00,14.7
305,Jesper Horsted,CHI,22,wr,6,1,10,8,80.00%,87,10.9,1,4,20,8.7,1.3,14.5,1,HorsJe00,20.7
306,Rashaad Penny,SEA,23,rb,10,0,11,8,72.70%,83,10.4,1,3,30,7.5,0.8,8.3,1,PennRa00,20.3
307,Patrick Ricard*,BAL,25,FB,16,7,11,8,72.70%,47,5.9,1,3,10,4.3,0.5,2.9,0,RicaPa00,18.7
308,Luke Stocker,ATL,31,TE,15,9,14,8,57.10%,53,6.6,0,2,18,3.8,0.5,3.5,1,StocLu00,11.3
309,Tommy Sweeney,BUF,24,te,6,1,13,8,61.50%,114,14.3,0,4,29,8.8,1.3,19,0,SweeTo00,19.4
310,Ryan Switzer,PIT,25,wr,9,0,11,8,72.70%,27,3.4,0,2,8,2.5,0.9,3,1,SwitRy00,8.7
311,Luke Willson,SEA,29,te,8,7,10,8,80.00%,79,9.9,0,5,17,7.9,1,9.9,0,WillLu00,15.9
312,Brandon Zylstra,CAR,26,wr,8,0,12,8,66.70%,106,13.3,0,5,40,8.8,1,13.3,1,ZylsBr00,16.6
313,Daniel Brown,NYJ,27,wr,16,5,11,7,63.60%,72,10.3,1,4,24,6.5,0.4,4.5,0,BrowDa04,20.2
314,Mike Davis,2TM,26,,12,1,8,7,87.50%,22,3.1,0,1,7,2.8,0.6,1.8,0,DaviMi01,9.2
315,Gus Edwards,BAL,24,rb,16,1,7,7,100.00%,45,6.4,0,2,10,6.4,0.4,2.8,2,EdwaGu00,7.5
316,Myles Gaskin,MIA,22,rb,7,0,12,7,58.30%,51,7.3,0,2,20,4.3,1,7.3,0,GaskMy00,12.1
317,Derrius Guice,WAS,22,rb,5,1,9,7,77.80%,79,11.3,1,2,45,8.8,1.4,15.8,0,GuicDe00,20.9
318,Marvin Hall,DET,26,wr,9,0,11,7,63.60%,261,37.3,1,7,58,23.7,0.8,29,0,HallMa02,39.1
319,J.P. Holtz,2TM,26,,15,7,8,7,87.50%,91,13,0,4,30,11.4,0.5,6.1,0,HoltJ.01,16.1
320,Bilal Powell,NYJ,31,rb,13,1,12,7,58.30%,33,4.7,0,0,9,2.8,0.5,2.5,0,PoweBi00,10.3
321,Durham Smythe,MIA,24,TE,16,14,14,7,50.00%,65,9.3,0,2,24,4.6,0.4,4.1,0,SmytDu00,13.5
322,Danny Vitale,GNB,26,rb,15,4,12,7,58.30%,97,13.9,0,3,27,8.1,0.5,6.5,0,VitaDa00,16.7
323,Jordan Wilkins,IND,25,rb,14,1,11,7,63.60%,43,6.1,0,1,11,3.9,0.5,3.1,0,WilkJo01,11.3
324,Kenjon Barner,ATL,30,rb,14,0,8,6,75.00%,22,3.7,0,1,13,2.8,0.4,1.6,4,BarnKe00,0.2
325,Travis Benjamin,LAC,30,wr,5,2,16,6,37.50%,30,5,0,3,13,1.9,1.2,6,0,BenjTr00,9
326,Braxton Berrios,NYJ,24,wr,16,0,13,6,46.20%,115,19.2,0,3,69,8.8,0.4,7.2,1,BerrBr00,15.5
